gene,entrez_gene_id
Eif5a,100766364
Med28,100768639
Nup160,100765104
Znf207,118239910
LOC100773644,100773644
Exoc4,100750685
Nutf2,100753217
Cops3,100760692
Stn1,100757852
Pds5a,100764706
Cnot11,100760179
Polr3d,100767520
Fip1l1,100756086
Clspn,100768047
Eral1,100766924
Ndufv1,100757245
Junb,100756141
Gpn3,100764448
Mdn1,100773184
Ect2,100754674
Mrpl11,100761388
Bccip,100757180
Ncln,100761580
Cdca5,103159496
Tmem199,100758701
LOC100756805,100756805
Vps29,100751236
Pmpca,100761595
Ndufb6,100765445
Spata5l1,100773232
C1H12orf45,100771219
Gemin4,100761184
Exosc10,100754929
Ncapg2,100752041
Keap1,100759410
Vrk1,100761272
Rmi1,100763534
Copb2,100758514
Racgap1,100751180
Psmd12,100767177
Pkm,100751347
Cars1,100761418
Dbr1,100768520
Rpl37a,100754588
Mnat1,100770765
C5H1orf112,100764089
Vps26a,100766289
Orc1,100689425
Pola1,100758493
Gps1,100770684
Tbl3,100754975
Mrps18a__3,
Icmt,100765763
Qars1,100763536
Mtbp,100754090
Cdk6,100764515
Zw10,100750463
Med30,100751133
Tma16,100753215
Ebp,100765639
Rpl27,100769867
Psma7,100769350
Coq3,100763494
Vcp,103161970
Uros,100757472
Psmd8,100764857
LOC100771607,100771607
Nle1,100774821
Med21,100756366
LOC100756398,100756398
Sumo2,100689105
Exosc4|Oplah,100766618
Midn,100755088
Ncbp1,100770427
Cops8,100767812
Srrd,100773911
Wdr1__3,
Thap11,100753517
Ufc1,100767197
Spcs2,100755739
Dmap1,100756406
Atg9a,100774022
Thg1l,100763395
Mcm8,100772692
Ddb1,100764133
Snrnp25,100759758
Eif3m,100768213
Mmp23b,100774158
Mcm3,100774903
Ctcf,100763233
Heatr1,100763985
Wdr7,100762510
Ebna1bp2,100769390
LOC100773928|LOC100769603,100769603
Nol6,100760727
Myc,100773301
Ddx52,100771911
Ddx18,100759595
Nus1,100761477
Tm2d2,100774168
Rpl10a,100765562
Psmg4,100758919
LOC103159087,103159087
Cbfb,100765267
Hars1,100757635
Nxt1,100763994
Znf131,100762817
Wdr5,100768958
Slc33a1,100756415
Cct7,100770561
Xab2,100767687
Pex16,100750639
Tmem70,100762615
Cs,100750580
Exoc7,100754030
Puf60,100758296
Tango6,100754699
Prpf40a,100774137
Bop1,100763888
Elp2,100764459
Tmem60,100757990
Sgms1,100766719
Kif23,100682531
Vars2,100755870
Taf10,100760931
Dtymk,100755252
LOC113839136,113839136
Usp8,100753287
Ppp1r10,100765643
Impdh2,100689398
Kpnb1,100762896
Pgm3,100762575
U2af1,100766015
Adsl,100689060
Snrpc,100759153
Rabif,100753301
Tardbp,100769142
Ints5,100751877
Rpl5|Ephx2,100770250
Msmo1,100754784
Hmbs,100757819
Rpl4,100756048
Sdhaf2,100772110
Nfe2l1,100751832
Cdc7,100689341
Cse1l,100756434
Gpd1l,100773663
Far1,100761128
Nedd1,100757592
Gemin2,100755559
Med1,100758159
Cenpm,100762853
Txnl4b,100757210
Rpl31,100754887
Espl1,100768842
Timm22,100762051
Lyrm4,100764324
Dhx37,100751766
LOC100761624,100761624
Mrps24,100761173
Eif2s1,100761915
Mmachc,100751045
Eif2b5,100773826
Mrps11,100769823
Med7,100767208
Mrps34,100752305
Prpf4b,100759963
Ggps1,100767405
Wdr3,100772536
Rpa1,100772412
Emc3,100757477
Lsm6,100769852
Alg1,100773731
LOC107977672,107977672
Dctn1,100765083
Nom1,100752769
Alg8,100766150
Cpsf1,100761673
Exoc3,100756215
Kif14,100759691
Setd1a,100753962
Snap23,100757957
Iars2,100758227
Zc3h18,100767415
Ngdn,100764946
Ftsj3,100771677
Ddx20,100752364
Tiparp,100755246
Cdc73,100767294
Ggnbp2,100759034
Rpl3,100771906
Nvl,100759165
Mrps18a__2,
Tgs1,100755697
Polr2h,100769706
Mia3,100755615
LOC100772531,100772531
Rcl1,100761761
Cog6,100771724
Gspt1,100753280
Mat2a,100752327
Ssrp1,100758773
Rsl24d1,100767126
Pot1,100758846
Pprc1,100751874
Scamp4|Adat3,100758561
Arfrp1,100762329
LOC100773141,100773141
LOC100753568,100753568
LOC100750593,100750593
Get1__2,
Mrpl50,100755968
Rps15,100766987
Coq7,100762279
Dars2,100774650
Zzz3,100759098
Polr3f,100766844
Isy1,103161503
Paf1,100689047
Haus8,100754778
Psma6,100754440
Sec31a,100762780
Opa1,100751873
Haus1,100770145
LOC100772005,100772005
Pdhb,100774878
Nelfcd,100766768
Cul3,100760346
Polr1g,100755473
Pex26,100753828
Rbfa,100763391
Rbms1,100767838
Sae1,100767400
Bud23,100755551
Ddx56,100764269
Nolc1,100773818
