gene.id,gene.name,entrez_gene_symbol
100771433,Sgk1,Sgk1
100766459,Map3k14,Map3k14
100755657,Wnk1,Wnk1
100753511,Prpf4,Prpf4
100769548,Pik3r4,Pik3r4
100689039,Cdk2,Cdk2
100765917,Riok1,Riok1
100754771,LOC100754771,LOC100754771
100773792,Prkar1a,Prkar1a
100753258,Wee1,Wee1
100753249,Rps6ka5,Rps6ka5
100758448,Cdk12,Cdk12
100754772,Sik2,Sik2
100771831,Pkmyt1,Pkmyt1
100753508,Map3k3,Map3k3
100766716,Cdk1,Cdk1
100751131,Taf1,Taf1
100766006,Prkca,Prkca
100767265,Rock2,Rock2
100758835,Riok2,Riok2
100689341,Cdc7,Cdc7
100759963,Prpf4b,Prpf4b
100760676,Plk1,Plk1
100758298,Csnk1a1,Csnk1a1
100769780,Cdk7,Cdk7
100761524,Ppp1cb,Ppp1cb
100765556,Ctdsp2,Ctdsp2
100771425,Ppp4c,Ppp4c
100757400,Ppp2cb,Ppp2cb
100760810,Ppp1ca,Ppp1ca
100763199,Rpap2,Rpap2
100764255,Ctdp1,Ctdp1
100758939,Ppm1f,Ppm1f
100757898,Coasy,Coasy
100766343,Ppcdc,Ppcdc
100763030,Sacm1l,Sacm1l
100755696,Nadk,Nadk
100767492,Nampt,Nampt
100750895,Atic,Atic
100758991,Paics,Paics
100760149,Ppat,Ppat
100760956,Pfas,Pfas
100689232,Cad,Cad
100756632,Dhodh,Dhodh
100756786,Umps,Umps
100758970,Pc,Pc
100763494,Coq3,Coq3
100750776,Coq5,Coq5
100762279,Coq7,Coq7
100755903,Coq2,Coq2
100769477,Pigq,Pigq
100774578,Kdsr,Kdsr
100689415,Sptlc2,Sptlc2
100689326,Sptlc1,Sptlc1
100766719,Sgms1,Sgms1
100757135,Galk1,Galk1
100689325,Ugp2,Ugp2
100753962,Setd1a,Setd1a
100765465,Kmt2d,Kmt2d
100760424,Kmt2a,Kmt2a
100764568,Suv39h1,Suv39h1
100765697,Setdb1,Setdb1
100774411,Kmt5a,Kmt5a
100755739,Spcs2,Spcs2
100761595,Pmpca,Pmpca
100758487,Pikfyve,Pikfyve
100689251,Pik3ca,Pik3ca
100765741,Pik3c3,Pik3c3
100765091,Sod1,Sod1
100765795,Etnk1,Etnk1
