Gene	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S40	S41	S42	S43	S4	S5	S6	S7	S8	S9
Abca1	5.060509	6.629211	6.775847	2.059591	7.516947	8.145877	8.555325999999999	6.644377	0.409173	7.080357000000001	2.238357	8.095511	9.157781	2.4889930000000002	2.438987	2.8281009999999998	11.953835	2.800241	1.689385	3.3974860000000002	7.295673	4.006794999999999	5.783562	10.921215	18.221189000000003	2.881571	1.8809759999999998	5.677306	4.227441000000001	7.745366000000001	2.257313	2.3216330000000003	4.179035	8.919352	3.5157830000000003	4.895823	19.131447	9.60892	14.783854999999999	9.062315	5.537287999999999	2.9323349999999997	5.319592
Abca12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04338	0.049694	0.0	0.0	0.0	0.0	0.026855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050722	0.0	0.0	0.0	0.0	0.0	0.108572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca2	7.650171	4.362799	3.220934	4.429521	5.975215	5.139145	8.428995	10.013904	2.99185	7.028608	5.146512	9.376232	1.6811060000000002	5.094583999999999	5.012583	7.297221	2.198756	4.45845	3.346192	5.6523080000000006	9.174622	4.474126	4.371008	6.2096480000000005	4.630537	7.401447	4.739164	5.018072	11.71012	7.877223	5.032036	3.083355	6.192912000000001	5.6495489999999995	6.978697	5.776425	5.20153	5.585531	6.578011999999999	7.995931	5.583195	5.444361	6.5790619999999995
Abca3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca5	14.522924	19.407646	16.771774	8.3082	9.828441999999999	8.569773	10.720562	22.488253	3.5357269999999996	6.691858	8.664561	15.436817000000001	23.775260999999997	6.658672	9.41615	12.123683	21.859413	19.049210000000002	1.889318	12.345130000000001	21.306494	2.922456	11.513674	25.008163	37.174198	9.730694999999999	6.88213	7.621997	18.761946	26.974981	5.05585	7.154392	16.531042000000003	12.965647	14.475270000000002	12.932363	30.526999	15.711898999999999	33.164013	29.648290999999997	12.514462	5.360966	19.634239
Abca7	8.432761	1.218833	2.627071	1.561936	2.17461	1.6887029999999998	4.488844	7.473198	1.356976	2.3534349999999997	2.0592349999999997	3.5794230000000002	3.0100569999999998	2.4424040000000002	1.270353	4.799311	3.108616	2.193907	1.879415	2.222835	2.966601	2.085505	2.7115650000000002	4.760717	4.485672	2.2892930000000002	2.009866	1.3545129999999999	5.33006	4.122565	1.6890759999999998	1.116109	2.8194169999999996	1.277895	2.257262	4.755218	3.2689060000000003	4.2508610000000004	2.9981259999999996	4.734239	2.314652	2.581069	2.557544
Abca9	0.2485	0.0	0.038869	0.32281	0.197982	0.0	0.06621	0.09923	0.21100300000000002	0.071079	0.19272	0.035506	0.0	0.757983	0.408643	0.025968	0.0	0.073928	0.5574279999999999	0.336042	0.172481	0.053599	0.0	0.071011	0.0	0.472921	0.17957599999999999	0.041136	0.308692	0.0	0.43002700000000005	0.242277	0.22138000000000002	0.14920799999999998	0.0	0.20166900000000001	0.12523299999999998	0.114766	0.179036	0.0	0.612201	0.0	0.112106
Abcb1	11.724979	4.856831	4.593301	12.854623	17.013689000000003	9.240110000000001	18.507417999999998	15.826294	5.179266999999999	8.581429	12.696643	15.965309	12.391788	10.453689	10.948358	11.30391	18.286236	10.951121	3.649711	15.179960000000001	20.88929	11.183641999999999	10.514049	15.304013000000001	20.44681	15.873351999999999	7.862375	9.850351	17.630093	19.159208	5.241608	10.659195	22.030846	14.578017000000001	16.986614000000003	11.921605	21.034504000000002	14.509139000000001	10.496777999999999	9.995802000000001	17.143734	10.606606	20.514122
Abcb10	1.9544	0.711495	0.741203	2.049502	2.769547	1.453366	1.7188299999999999	1.4219	2.163475	2.050337	2.605397	2.050452	0.0	3.6463089999999996	1.569178	2.12017	0.6124649999999999	0.6991539999999999	1.240406	2.7802849999999997	2.614846	1.6682240000000002	1.4962799999999998	0.822166	0.887252	3.7426199999999996	3.048269	2.381909	3.06318	1.256942	3.530093	2.983136	2.079389	2.812071	2.5952900000000003	1.351897	1.33992	1.40081	1.454284	2.0314330000000003	3.462739	2.106673	2.812862
Abcb11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.310329	0.0	0.0	0.0	0.0	0.125854	0.0	0.0	0.0	0.0	0.0	0.050392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcb1b	10.342963000000001	5.5492550000000005	3.413669	9.215582000000001	9.209897999999999	12.492179	11.274958999999999	10.627315	0.0	6.974353999999999	9.077198	9.705952	9.227967	7.44027	4.194929	10.361236	10.146405	5.945314	3.068791	4.811368	12.303669000000001	5.170961	5.311039	11.382527	12.98099	5.546275	3.09167	7.512711	9.149021000000001	12.625219	4.886637	3.9757870000000004	17.478668	11.50314	8.10608	8.369447000000001	10.3907	9.868817	6.772057000000001	5.276013	11.685477	6.382447	17.702568
Abcb4	0.0	0.0	0.0	0.045327	0.0	0.154721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039751999999999996	0.0	0.0	0.0	0.0	0.042957999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106574	0.0	0.0	0.0	0.0
Abcb6	10.018310000000001	13.551796	12.964935	7.2490570000000005	6.324749	6.86768	11.481699	11.665438	5.466454	7.878922	7.891916	9.767047999999999	11.250387	10.693988000000001	5.561329	8.133495	8.762933	14.579215	6.706707000000001	5.918955	8.676991000000001	4.08139	6.049097	9.679561999999999	12.128203	10.749207	10.064252	8.16883	8.310208	12.658246	8.09478	7.293017	7.864066	8.232595	9.820374000000001	12.378866	11.561802	8.774042999999999	15.342514999999999	12.610788000000001	8.657974000000001	5.38299	8.05232
Abcb7	4.741307	3.5099089999999995	3.248361	10.682229	10.126576	5.302447	4.516815	4.726694999999999	5.141476	10.072636	11.662389	13.282531	7.794122	18.77615	17.956848	7.867174	11.094985000000001	9.208335	5.525606	19.060619	21.816399	3.8557089999999996	7.171342999999999	10.864804	12.657049	23.12479	9.739552999999999	11.036116999999999	17.161089	13.726768	11.055049	15.656807	11.528398	20.668229999999998	17.020854999999997	9.14856	18.179644	5.135212	6.412301	5.187954	15.375575	4.7309339999999995	11.266217999999999
Abcb8	4.961366	0.0	0.0	10.173182	10.976322	4.569013	7.220317999999999	2.3533310000000003	6.359965	7.869375999999999	10.371943	7.05302	3.1558599999999997	11.336203999999999	9.677003	8.150197	1.215911	3.985592	10.206838000000001	11.431411	12.068732	7.9371529999999995	4.974515	3.9836169999999997	5.565077	13.367657999999999	13.314865	7.772475	7.787499	4.588794999999999	11.894318	8.860600999999999	8.247672999999999	7.05547	5.76871	6.447619	3.5514349999999997	5.953407	0.0	0.384496	10.012367999999999	8.230139	7.889417999999999
Abcb9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.187349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcc1	10.072186	1.8102220000000002	2.378409	4.439583	7.318744000000001	7.076853999999999	8.294842	10.261399	1.5345540000000002	6.447586	6.75482	8.874129	2.761428	5.3190040000000005	4.407652	2.0388919999999997	4.924705	3.395686	2.1819290000000002	5.329125	9.54119	3.4110150000000004	6.924567	8.019677	7.517094	7.650225	2.387695	6.075846	11.388539999999999	12.500938	4.506558999999999	4.391438	8.688705	3.231809	8.814384	10.895038000000001	5.812797	9.600375	2.357862	2.140848	6.992519000000001	2.65878	10.656975
Abcc10	0.8235459999999999	0.0	0.0	0.693103	1.459758	0.36196300000000003	1.0850629999999999	0.327416	0.811736	0.374859	0.550528	1.141533	0.161449	0.606383	1.000858	0.45561599999999997	0.0	0.0	0.648858	0.670189	1.598434	0.33421999999999996	0.446304	0.0	0.0	1.226575	0.592507	0.6707350000000001	1.6728169999999998	0.757969	0.662229	0.372489	0.6608470000000001	0.8977950000000001	0.6554449999999999	0.87066	0.0	0.5714239999999999	0.408375	0.325492	1.202739	0.5979479999999999	1.50763
Abcc12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcc2	0.0	0.0	0.0	0.058339	0.156809	0.0	0.0	0.0	0.0	0.0	0.099583	0.0	0.0	0.0	0.157539	0.0	0.0	0.0	0.0	0.0	0.042391000000000005	0.0	0.0	0.07401	0.0	0.0	0.0	0.0	0.164459	0.0	0.0	0.0	0.0	0.08268500000000001	0.0	0.065162	0.0	0.08206799999999999	0.0	0.0	0.115337	0.0	0.0
Abcc3	12.558849	5.010319	3.863829	3.075543	5.78969	4.5790809999999995	12.435427	17.94334	0.805185	3.692481	3.7230410000000003	11.404634	19.266897	4.070498000000001	2.958297	6.5675669999999995	16.933424	16.847898	5.331025	5.412565	8.920053	5.755628	5.2870800000000004	16.313420999999998	29.650013	5.103429	3.7117419999999997	4.059613	12.771237	30.843624	2.704695	3.6226199999999995	8.690799	4.107222	8.047348	19.015463	21.351746	9.698111	7.482671000000001	9.844489999999999	3.824011	5.355119	7.180889
Abcc4	17.353786	11.406132000000001	9.527427000000001	11.876406	16.460909	16.380411	18.78966	32.552292	4.190422	15.850760000000001	14.895295999999998	45.168388	31.273489	22.055773000000002	15.236175	23.044022000000002	43.137344	31.278647999999997	5.24291	20.787679999999998	35.721615	10.506712	22.309004	45.776309999999995	50.902958	20.303463	10.330578	22.052605	60.054016000000004	54.04274399999999	11.954848	12.141107	24.313866	28.894790999999998	52.96423299999999	47.816933	57.367077	19.609939999999998	24.619217000000003	12.887171	16.188726000000003	7.370572	20.313423
